[2025-04-02 03:03:02.207865] Début de l'analyse du fichier qojita.xlsx
[2025-04-02 03:03:20.973458] Traitement de 0613617568117 (Marque: Rimmel) - 1/1200...
[2025-04-02 03:03:23.243241] Traitement de 0614514071052 (Marque: Rasasi) - 2/1200...
[2025-04-02 03:03:25.466289] Traitement de 0614514124017 (Marque: Rasasi) - 3/1200...
[2025-04-02 03:03:33.891626] Traitement de 0614514125021 (Marque: Rasasi) - 4/1200...
[2025-04-02 03:03:40.500560] Traitement de 0614514164013 (Marque: Rasasi) - 5/1200...
[2025-04-02 03:03:50.105788] Traitement de 0614514175019 (Marque: Rasasi) - 6/1200...
[2025-04-02 03:03:52.600341] Traitement de 0614514189016 (Marque: Rasasi) - 7/1200...
[2025-04-02 03:03:55.548320] Traitement de 0614514204061 (Marque: Rasasi) - 8/1200...
[2025-04-02 03:04:06.937766] Traitement de 0614514204108 (Marque: Rasasi) - 9/1200...
[2025-04-02 03:04:14.126803] Traitement de 0614514222010 (Marque: Rasasi) - 10/1200...
[2025-04-02 03:04:16.736083] Traitement de 0614514228029 (Marque: Rasasi) - 11/1200...
[2025-04-02 03:04:24.525405] Traitement de 0614514233085 (Marque: Rasasi) - 12/1200...
[2025-04-02 03:04:30.539060] Traitement de 0614514331033 (Marque: Rasasi) - 13/1200...
[2025-04-02 03:04:37.476061] Traitement de 0614514333112 (Marque: Rasasi) - 14/1200...
[2025-04-02 03:04:39.966231] Traitement de 0614514340684 (Marque: Rasasi) - 15/1200...
[2025-04-02 03:04:42.608893] Traitement de 0614514425015 (Marque: Rasasi) - 16/1200...
[2025-04-02 03:04:44.867687] Traitement de 0614514425022 (Marque: Rasasi) - 17/1200...
[2025-04-02 03:04:47.115817] Traitement de 0614514425152 (Marque: Rasasi) - 18/1200...
[2025-04-02 03:04:49.232363] Traitement de 0614514425176 (Marque: Rasasi) - 19/1200...
[2025-04-02 03:04:52.335405] Traitement de 0614514426043 (Marque: Rasasi) - 20/1200...
[2025-04-02 03:04:54.435335] Traitement de 0614514427040 (Marque: Rasasi) - 21/1200...
[2025-04-02 03:04:56.567125] Traitement de 0614514438091 (Marque: Rasasi) - 22/1200...
[2025-04-02 03:04:58.682681] Traitement de 0614514438114 (Marque: Rasasi) - 23/1200...
[2025-04-02 03:05:00.910086] Traitement de 0614514561034 (Marque: Rasasi) - 24/1200...
[2025-04-02 03:05:04.103097] Traitement de 0614514644034 (Marque: Rasasi) - 25/1200...
[2025-04-02 03:05:07.516923] Traitement de 0614514690819 (Marque: Rasasi) - 26/1200...
[2025-04-02 03:05:10.396723] Traitement de 0614514840665 (Marque: Rasasi) - 27/1200...
[2025-04-02 03:05:18.839220] Traitement de 0614514080627 (Marque: Rasasi) - 28/1200...
[2025-04-02 03:05:21.090042] Traitement de 0614514109014 (Marque: Rasasi) - 29/1200...
[2025-04-02 03:05:27.914701] Traitement de 0614514154014 (Marque: Rasasi) - 30/1200...
[2025-04-02 03:05:39.002158] Traitement de 0614514161012 (Marque: Rasasi) - 31/1200...
[2025-04-02 03:05:42.148208] Traitement de 0614514165010 (Marque: Rasasi) - 32/1200...
[2025-04-02 03:05:50.522963] Traitement de 0614514183014 (Marque: Rasasi) - 33/1200...
[2025-04-02 03:06:00.596523] Traitement de 0614514188019 (Marque: Rasasi) - 34/1200...
[2025-04-02 03:06:03.330497] Traitement de 0614514213018 (Marque: Rasasi) - 35/1200...
[2025-04-02 03:06:11.405723] Traitement de 0614514229057 (Marque: Rasasi) - 36/1200...
[2025-04-02 03:06:18.961353] Traitement de 0614514229064 (Marque: Rasasi) - 37/1200...
[2025-04-02 03:06:25.595846] Traitement de 0614514261019 (Marque: Rasasi) - 38/1200...
[2025-04-02 03:06:28.300386] Traitement de 0614514261026 (Marque: Rasasi) - 39/1200...
[2025-04-02 03:06:34.399009] Traitement de 0614514261040 (Marque: Rasasi) - 40/1200...
[2025-04-02 03:06:36.642363] Traitement de 0614514261057 (Marque: Rasasi) - 41/1200...
[2025-04-02 03:06:38.898208] Traitement de 0614514261064 (Marque: Rasasi) - 42/1200...
[2025-04-02 03:06:42.120773] Traitement de 0614514261071 (Marque: Rasasi) - 43/1200...
[2025-04-02 03:06:45.377618] Traitement de 0614514261095 (Marque: Rasasi) - 44/1200...
[2025-04-02 03:06:48.447997] Traitement de 0614514331026 (Marque: Rasasi) - 45/1200...
[2025-04-02 03:06:50.784989] Traitement de 0614514331040 (Marque: Rasasi) - 46/1200...
[2025-04-02 03:06:53.425485] Traitement de 0614514333129 (Marque: Rasasi) - 47/1200...
[2025-04-02 03:07:00.665993] Traitement de 0614514402016 (Marque: Rasasi) - 48/1200...
[2025-04-02 03:07:02.923992] Traitement de 0614514402023 (Marque: Rasasi) - 49/1200...
[2025-04-02 03:07:10.593949] Traitement de 0614514402030 (Marque: Rasasi) - 50/1200...
[2025-04-02 03:07:18.068362] Traitement de 0614514406014 (Marque: Rasasi) - 51/1200...
[2025-04-02 03:07:20.634374] Traitement de 0614514406021 (Marque: Rasasi) - 52/1200...
[2025-04-02 03:07:23.478413] Traitement de 0614514426050 (Marque: Rasasi) - 53/1200...
[2025-04-02 03:07:25.736743] Traitement de 0614514438039 (Marque: Rasasi) - 54/1200...
[2025-04-02 03:07:28.023539] Traitement de 0614514438077 (Marque: Rasasi) - 55/1200...
[2025-04-02 03:07:30.334255] Traitement de 0614514449059 (Marque: Rasasi) - 56/1200...
[2025-04-02 03:07:32.593526] Traitement de 0614514480137 (Marque: Rasasi) - 57/1200...
[2025-04-02 03:07:40.876159] Traitement de 0614514644010 (Marque: Rasasi) - 58/1200...
[2025-04-02 03:07:43.368723] Traitement de 0614514780497 (Marque: Rasasi) - 59/1200...
[2025-04-02 03:07:45.652451] Traitement de 0616762940821 (Marque: Revlon) - 60/1200...
[2025-04-02 03:08:06.070139] Traitement de 0613617568582 (Marque: Rimmel) - 61/1200...
[2025-04-02 03:08:08.338494] Traitement de 0614514102701 (Marque: Rasasi) - 62/1200...
[2025-04-02 03:08:10.639409] Traitement de 0614514103012 (Marque: Rasasi) - 63/1200...
[2025-04-02 03:08:12.895873] Traitement de 0614514132012 (Marque: Rasasi) - 64/1200...
[2025-04-02 03:08:19.566873] Traitement de 0614514140024 (Marque: Rasasi) - 65/1200...
[2025-04-02 03:08:26.495754] Traitement de 0614514178010 (Marque: Rasasi) - 66/1200...
[2025-04-02 03:08:28.766785] Traitement de 0614514191019 (Marque: Rasasi) - 67/1200...
[2025-04-02 03:08:31.230710] Traitement de 0614514204016 (Marque: Rasasi) - 68/1200...
[2025-04-02 03:08:41.183135] Traitement de 0614514204092 (Marque: Rasasi) - 69/1200...
[2025-04-02 03:08:50.930706] Traitement de 0614514214015 (Marque: Rasasi) - 70/1200...
[2025-04-02 03:08:58.811559] Traitement de 0614514228012 (Marque: Rasasi) - 71/1200...
[2025-04-02 03:09:06.356369] Traitement de 0614514229026 (Marque: Rasasi) - 72/1200...
[2025-04-02 03:09:13.147191] Traitement de 0614514236093 (Marque: Rasasi) - 73/1200...
[2025-04-02 03:09:18.459882] Traitement de 0614514253038 (Marque: Rasasi) - 74/1200...
[2025-04-02 03:09:25.787222] Traitement de 0614514253045 (Marque: Rasasi) - 75/1200...
[2025-04-02 03:09:38.268387] Traitement de 0614514333136 (Marque: Rasasi) - 76/1200...
[2025-04-02 03:09:45.146049] Traitement de 0614514333228 (Marque: Rasasi) - 77/1200...
[2025-04-02 03:09:47.583294] Traitement de 0614514338025 (Marque: Rasasi) - 78/1200...
[2025-04-02 03:09:58.741934] Traitement de 0614514338049 (Marque: Rasasi) - 79/1200...
[2025-04-02 03:10:15.198890] Traitement de 0614514339022 (Marque: Rasasi) - 80/1200...
[2025-04-02 03:10:17.906959] Traitement de 0614514402047 (Marque: Rasasi) - 81/1200...
[2025-04-02 03:10:29.516562] Traitement de 0614514424018 (Marque: Rasasi) - 82/1200...
[2025-04-02 03:10:31.777032] Traitement de 0614514424025 (Marque: Rasasi) - 83/1200...
[2025-04-02 03:10:34.107013] Traitement de 0614514438084 (Marque: Rasasi) - 84/1200...
[2025-04-02 03:10:36.353225] Traitement de 0614514950012 (Marque: Rasasi) - 85/1200...
[2025-04-02 03:10:38.677157] Traitement de 0615908416770 (Marque: Estée Lauder) - 86/1200...
[2025-04-02 03:10:41.302871] Traitement de 0614514080573 (Marque: Rasasi) - 87/1200...
[2025-04-02 03:10:43.547576] Traitement de 0614514102459 (Marque: Rasasi) - 88/1200...
[2025-04-02 03:10:50.322803] Traitement de 0614514152010 (Marque: Rasasi) - 89/1200...
[2025-04-02 03:10:57.659330] Traitement de 0614514177013 (Marque: Rasasi) - 90/1200...
[2025-04-02 03:10:59.883427] Traitement de 0614514178065 (Marque: Rasasi) - 91/1200...
[2025-04-02 03:11:04.144935] Traitement de 0614514204023 (Marque: Rasasi) - 92/1200...
[2025-04-02 03:11:06.385401] Traitement de 0614514204054 (Marque: Rasasi) - 93/1200...
[2025-04-02 03:11:15.260164] Traitement de 0614514229019 (Marque: Rasasi) - 94/1200...
[2025-04-02 03:11:17.472569] Traitement de 0614514236109 (Marque: Rasasi) - 95/1200...
[2025-04-02 03:11:20.471087] Traitement de 0614514249031 (Marque: Rasasi) - 96/1200...
[2025-04-02 03:11:31.785226] Traitement de 0614514249048 (Marque: Rasasi) - 97/1200...
[2025-04-02 03:11:40.661732] Traitement de 0614514253069 (Marque: Rasasi) - 98/1200...
[2025-04-02 03:11:49.190949] Traitement de 0614514253076 (Marque: Rasasi) - 99/1200...
[2025-04-02 03:11:55.541950] Traitement de 0614514253083 (Marque: Rasasi) - 100/1200...
[2025-04-02 03:11:58.543901] Traitement de 0614514261088 (Marque: Rasasi) - 101/1200...
[2025-04-02 03:12:01.875020] Traitement de 0614514310069 (Marque: Rasasi) - 102/1200...
[2025-04-02 03:12:08.770677] Traitement de 0614514333235 (Marque: Rasasi) - 103/1200...
[2025-04-02 03:12:11.015274] Traitement de 0614514338018 (Marque: Rasasi) - 104/1200...
[2025-04-02 03:12:20.577849] Traitement de 0614514338032 (Marque: Rasasi) - 105/1200...
[2025-04-02 03:12:34.116610] Traitement de 0614514339015 (Marque: Rasasi) - 106/1200...
[2025-04-02 03:12:44.556461] Traitement de 0614514339046 (Marque: Rasasi) - 107/1200...
[2025-04-02 03:12:56.407052] Traitement de 0614514363614 (Marque: Rasasi) - 108/1200...
[2025-04-02 03:13:06.478542] Traitement de 0614514402061 (Marque: Rasasi) - 109/1200...
[2025-04-02 03:13:21.229416] Traitement de 0614514405017 (Marque: Rasasi) - 110/1200...
[2025-04-02 03:13:23.651183] Traitement de 0614514410103 (Marque: Rasasi) - 111/1200...
[2025-04-02 03:13:26.118191] Traitement de 0614514421352 (Marque: Rasasi) - 112/1200...
[2025-04-02 03:13:28.264185] Traitement de 0614514424032 (Marque: Rasasi) - 113/1200...
[2025-04-02 03:13:30.397755] Traitement de 0614514425220 (Marque: Rasasi) - 114/1200...
[2025-04-02 03:13:32.702064] Traitement de 0614514427026 (Marque: Rasasi) - 115/1200...
[2025-04-02 03:13:35.009109] Traitement de 0614514438046 (Marque: Rasasi) - 116/1200...
